Designator,Mid X,Mid Y,Rotation,Layer
C10,169.0,-105.6,0.0,top
C100,147.02,-95.6,180.0,top
C101,138.9,-99.3,0.0,top
C102,141.38,-88.2,180.0,top
C103,147.04,-94.6,180.0,top
C104,145.25,-106.73,90.0,top
C105,148.993891,-95.096947,270.0,top
C106,149.6,-97.8,270.0,top
C108,144.194975,-112.786933,180.0,top
C11,169.0,-106.8,0.0,top
C110,150.0,-95.9,270.0,top
C111,143.0,-90.77,270.0,top
C112,149.649568,-105.895018,90.0,top
C113,142.444975,-107.186933,90.0,top
C114,137.2,-102.1,0.0,top
C115,138.9,-97.6,0.0,top
C116,148.649568,-105.895018,90.0,top
C119,132.5,-110.275,0.0,top
C12,168.0,-98.6,0.0,top
C120,141.194975,-110.486933,270.0,top
C13,112.2,-120.6,0.0,top
C14,179.9,-103.5,180.0,top
C15,175.0,-107.0,90.0,top
C16,177.6,-105.4,180.0,top
C17,177.2,-107.0,180.0,top
C18,177.2,-109.2,180.0,top
C19,169.4,-108.8,0.0,top
C20,169.475,-111.4,0.0,top
C21,169.4,-114.0,0.0,top
C22,172.9,-96.2,270.0,top
C23,175.3,-96.2,270.0,top
C24,176.6,-110.7,0.0,top
C25,112.3,-111.8,0.0,top
C26,131.998325,-75.6,180.0,top
C27,132.478325,-77.1,180.0,top
C28,182.989678,-84.685637,180.0,top
C29,182.469678,-83.185637,180.0,top
C30,174.439678,-73.035637,90.0,top
C31,172.939678,-72.485637,90.0,top
C32,184.989678,-79.235637,270.0,top
C33,173.989678,-78.185637,90.0,top
C34,176.99615,-122.593327,270.0,top
C35,173.62,-115.9,180.0,top
C36,146.4,-75.78,90.0,top
C37,149.35,-81.7,270.0,top
C39,177.714678,-79.635637,270.0,top
C40,157.830238,-76.687957,180.0,top
C41,161.180238,-80.887957,90.0,top
C42,166.080238,-84.287957,0.0,top
C43,166.080238,-82.287957,0.0,top
C44,126.78,-110.5,180.0,top
C45,127.4,-113.65,90.0,top
C46,126.4,-113.65,90.0,top
C49,160.0,-104.48,90.0,top
C5,150.7,-106.5,90.0,top
C50,159.0,-104.5,90.0,top
C6,187.72,-91.3,0.0,top
C8,168.0,-101.1,0.0,top
C81,120.7,-99.25,0.0,top
C82,133.48,-98.5,180.0,top
C83,129.02,-95.8,180.0,top
C84,128.8,-106.775,180.0,top
C85,129.02,-94.8,180.0,top
C86,123.5,-89.7,180.0,top
C87,123.8,-84.9,180.0,top
C88,131.3,-95.8,270.0,top
C89,131.8,-104.1,180.0,top
C9,168.0,-103.6,0.0,top
C90,133.5,-97.5,180.0,top
C91,126.3,-109.05,90.0,top
C92,133.5,-100.4,180.0,top
C94,133.7,-104.1,0.0,top
C97,124.75,-91.15,270.0,top
C98,120.7,-97.6,0.0,top
C99,120.7,-101.6,0.0,top
D10,113.6,-93.8125,270.0,top
D11,137.2125,-117.5,0.0,top
D12,190.4,-94.3,180.0,top
D13,116.65,-120.6,0.0,top
D14,119.2,-120.6,0.0,top
D15,121.75,-120.6,0.0,top
D16,124.3,-120.6,0.0,top
D17,126.85,-120.6,0.0,top
D18,129.4,-120.6,0.0,top
D19,131.894004,-120.598855,0.0,top
D20,134.45,-120.6,0.0,top
D21,143.15,-120.7,180.0,top
D22,145.7,-120.7,180.0,top
D23,148.2,-120.7,180.0,top
D24,150.75,-120.7,180.0,top
D25,153.3,-120.7,180.0,top
D26,155.9,-120.7,180.0,top
D27,158.45,-120.7,180.0,top
D28,160.95,-120.7,180.0,top
D29,140.65,-120.7,180.0,top
D4,115.8125,-96.65,180.0,top
D5,145.6,-114.8,180.0,top
D6,112.15,-119.5,180.0,top
D7,112.7,-114.0,0.0,top
F1,190.1,-91.1,270.0,top
J1,113.554441,-78.997135,270.0,top
J11,187.485118,-117.177508,90.0,top
J12,151.14,-123.1,270.0,top
J2,112.0,-123.0,0.0,top
J3,163.0,-96.52,180.0,top
J4,190.0,-99.495,0.0,top
J5,179.945765,-73.89181,180.0,top
J6,163.002117,-114.525,180.0,top
J7,127.16,-123.0,90.0,top
L1,167.005238,-77.687957,180.0,top
L2,180.3,-98.5,90.0,top
L5,129.0,-93.258211,0.0,top
L6,147.0,-92.958211,0.0,top
Q1,167.844871,-122.639991,180.0,top
Q2,141.25,-81.75,180.0,top
Q3,167.9375,-117.8,0.0,top
Q5,142.3625,-75.25,90.0,top
R1,126.478325,-82.6,0.0,top
R10,129.591246,-118.592022,90.0,top
R11,132.091246,-118.602022,90.0,top
